roll_no,sub_code,internal_marks,external_marks,sgpa,total_marks
1783930003,RAS152,48,47,7.63,95
1783930003,RME151,41,46,7.63,87
1783930003,RCS151,49,42,7.63,91
1783930003,RCE151,44,39,7.63,83
1783930003,RAS203,15,34,7.29,49
1783930003,RAS201,15,48,7.29,63
1783930003,REE201,27,40,7.29,67
1783930003,RAS204,27,36,7.29,63
1783930003,REC201,21,45,7.29,66
1783930003,RAS251,44,48,7.29,92
1783930003,REE251,47,49,7.29,96
1783930003,RAS254,45,45,7.29,90
1783930003,RME252,49,41,7.29,90
1783930003,RAS301,20,56,7.25,76
1783930003,RVE301,21,25,7.25,46
1783930003,REE305,28,39,7.25,67
1783930003,REC301,21,48,7.25,69
1783930003,REC302,23,37,7.25,60
1783930003,REC303,21,39,7.25,60
1783930003,REC351,40,41,7.25,81
1783930003,REC352,40,46,7.25,86
1783930003,REC353,39,42,7.25,81
1783930003,REC354,45,44,7.25,89
1783930003,ROE047,26,47,8.0,73
1783930003,RAS402,22,49,8.0,71
1783930003,REC401,26,48,8.0,74
1783930003,REC402,17,44,8.0,61
1783930003,REC403,24,49,8.0,73
1783930003,RCS406,26,41,8.0,67
1783930003,REC451,45,46,8.0,91
1783930003,REC452,48,49,8.0,97
1783930003,REC453,49,44,8.0,93
1783930003,RCS456,47,41,8.0,88
1783930003,RAS501,27,40,7.38,67
1783930003,RAS502,26,45,7.38,71
1783930003,REC501A,21,45,7.38,66
1783930003,REC502,23,40,7.38,63
1783930003,REC503,17,56,7.38,73
1783930003,REC051,17,41,7.38,58
1783930003,REC551,44,42,7.38,86
1783930003,REC552,37,40,7.38,77
1783930003,REC553,41,40,7.38,81
1783930003,REC554,43,45,7.38,88
1783930003,RAS601,28,51,7.92,79
1783930003,RUC601,25,49,7.92,74
1783930003,RIC603,21,46,7.92,67
1783930003,REC601,25,49,7.92,74
1783930003,REC602,26,49,7.92,75
1783930003,REC064,18,44,7.92,62
1783930003,REC651,44,44,7.92,88
1783930003,REC652,43,44,7.92,87
1783930003,RIC653,42,44,7.92,86
1783930003,RIC651,45,45,7.92,90
1783930003,ROE072,23,35,8.46,58
1783930003,REC072,28,43,8.46,71
1783930003,REC075,26,54,8.46,80
1783930003,REC701,29,53,8.46,82
1783930003,REC702,26,50,8.46,76
1783930003,REC751,48,50,8.46,98
1783930003,REC752,48,50,8.46,98
1783930003,REC753,80,0,8.46,80
1783930003,REC754,175,0,8.46,175
1783930004,RAS101,24,50,8.17,74
1783930004,RAS102,27,53,8.17,80
1783930004,RAS103,24,50,8.17,74
1783930004,RME101,23,56,8.17,79
1783930004,RCS101,21,31,8.17,52
1783930004,RAS152,48,47,8.17,95
1783930004,RME151,43,45,8.17,88
1783930004,RCS151,41,40,8.17,81
1783930004,RCE151,42,40,8.17,82
1783930004,RAS203,18,49,7.13,67
1783930004,RAS201,20,45,7.13,65
1783930004,REE201,27,49,7.13,76
1783930004,RAS204,20,31,7.13,51
1783930004,REC201,18,30,7.13,48
1783930004,RAS251,44,49,7.13,93
1783930004,REE251,48,50,7.13,98
1783930004,RAS254,40,45,7.13,85
1783930004,RME252,36,42,7.13,78
1783930004,RAS301,18,28,6.5,46
1783930004,RVE301,18,62,6.5,80
1783930004,REE305,21,35,6.5,56
1783930004,REC301,22,21,6.5,43
1783930004,REC302,19,35,6.5,54
1783930004,REC303,20,47,6.5,67
1783930004,REC351,38,41,6.5,79
1783930004,REC352,40,41,6.5,81
1783930004,REC353,46,41,6.5,87
1783930004,REC354,36,38,6.5,74
1783930004,ROE047,18,41,6.38,59
1783930004,RAS402,17,39,6.38,56
1783930004,REC401,16,38,6.38,54
1783930004,REC402,16,46,6.38,62
1783930004,REC403,17,35,6.38,52
1783930004,RCS406,12,37,6.38,49
1783930004,REC451,38,35,6.38,73
1783930004,REC452,32,36,6.38,68
1783930004,REC453,39,40,6.38,79
1783930004,RCS456,44,45,6.38,89
1783930004,RAS501,22,47,7.29,69
1783930004,RAS502,21,43,7.29,64
1783930004,REC501A,20,51,7.29,71
1783930004,REC502,21,37,7.29,58
1783930004,REC503,14,42,7.29,56
1783930004,REC051,17,56,7.29,73
1783930004,REC551,39,43,7.29,82
1783930004,REC552,45,41,7.29,86
1783930004,REC553,37,40,7.29,77
1783930004,REC554,38,42,7.29,80
1783930004,RAS601,27,49,7.58,76
1783930004,RUC601,24,47,7.58,71
1783930004,RIC603,16,41,7.58,57
1783930004,REC601,27,49,7.58,76
1783930004,REC602,18,43,7.58,61
1783930004,REC064,18,43,7.58,61
1783930004,REC651,47,44,7.58,91
1783930004,REC652,43,43,7.58,86
1783930004,RIC653,33,40,7.58,73
1783930004,RIC651,38,41,7.58,79
1783930004,ROE072,24,38,7.92,62
1783930004,REC072,27,30,7.92,57
1783930004,REC075,25,46,7.92,71
1783930004,REC701,28,32,7.92,60
1783930004,REC702,25,56,7.92,81
1783930004,REC751,47,48,7.92,95
1783930004,REC752,32,48,7.92,80
1783930004,REC753,80,0,7.92,80
1783930004,REC754,175,0,7.92,175
1783930005,RAS101,23,36,7.46,59
1783930005,RAS102,29,43,7.46,72
1783930005,RAS103,28,43,7.46,71
1783930005,RME101,24,30,7.46,54
1783930005,RCS101,24,45,7.46,69
1783930005,RAS152,49,48,7.46,97
1783930005,RME151,44,43,7.46,87
1783930005,RCS151,44,39,7.46,83
1783930005,RCE151,44,40,7.46,84
1783930005,RAS203,22,63,7.92,85
1783930005,RAS201,20,47,7.92,67
1783930005,REE201,23,41,7.92,64
1783930005,RAS204,26,46,7.92,72
1783930005,REC201,30,38,7.92,68
1783930005,RAS251,46,42,7.92,88
1783930005,REE251,47,47,7.92,94
1783930005,RAS254,40,46,7.92,86
1783930005,RME252,46,40,7.92,86
1783930005,RAS301,20,63,7.33,83
1783930005,RVE301,21,28,7.33,49
1783930005,REE305,28,46,7.33,74
1783930005,REC301,20,37,7.33,57
1783930005,REC302,19,39,7.33,58
1783930005,REC303,23,56,7.33,79
1783930005,REC351,41,45,7.33,86
1783930005,REC352,42,35,7.33,77
1783930005,REC353,49,46,7.33,95
1783930005,REC354,38,39,7.33,77
1783930005,ROE047,22,48,7.71,70
1783930005,RAS402,16,43,7.71,59
1783930005,REC401,19,41,7.71,60
1783930005,REC402,21,51,7.71,72
1783930005,REC403,22,40,7.71,62
1783930005,RCS406,23,56,7.71,79
1783930005,REC451,41,35,7.71,76
1783930005,REC452,42,43,7.71,85
1783930005,REC453,47,44,7.71,91
1783930005,RCS456,47,46,7.71,93
1783930005,RAS501,23,34,7.29,57
1783930005,RAS502,24,41,7.29,65
1783930005,REC501A,23,39,7.29,62
1783930005,REC502,25,52,7.29,77
1783930005,REC503,19,35,7.29,54
1783930005,REC051,18,47,7.29,65
1783930005,REC551,46,42,7.29,88
1783930005,REC552,42,43,7.29,85
1783930005,REC553,43,42,7.29,85
1783930005,REC554,45,45,7.29,90
1783930005,RAS601,28,51,7.79,79
1783930005,RUC601,24,48,7.79,72
1783930005,RIC603,22,46,7.79,68
1783930005,REC601,27,50,7.79,77
1783930005,REC602,22,46,7.79,68
1783930005,REC064,18,44,7.79,62
1783930005,REC651,47,44,7.79,91
1783930005,REC652,43,43,7.79,86
1783930005,RIC653,43,43,7.79,86
1783930005,RIC651,42,43,7.79,85
1783930005,ROE072,25,39,8.13,64
1783930005,REC072,29,33,8.13,62
1783930005,REC075,27,44,8.13,71
1783930005,REC701,28,43,8.13,71
1783930005,REC702,27,53,8.13,80
1783930005,REC751,48,44,8.13,92
1783930005,REC752,41,44,8.13,85
1783930005,REC753,75,0,8.13,75
1783930005,REC754,160,0,8.13,160
1783930006,RAS101,21,43,7.46,64
1783930006,RAS102,19,44,7.46,63
1783930006,RAS103,22,40,7.46,62
1783930006,RME101,22,44,7.46,66
1783930006,RCS101,28,51,7.46,79
1783930006,RAS152,40,39,7.46,79
1783930006,RME151,42,42,7.46,84
1783930006,RCS151,48,48,7.46,96
1783930006,RCE151,40,38,7.46,78
1783930006,RAS203,15,31,7.13,46
1783930006,RAS201,15,50,7.13,65
1783930006,REE201,25,42,7.13,67
1783930006,RAS204,23,45,7.13,68
1783930006,REC201,21,45,7.13,66
1783930006,RAS251,40,43,7.13,83
1783930006,REE251,49,45,7.13,94
1783930006,RAS254,40,45,7.13,85
1783930006,RME252,44,44,7.13,88
1783930006,RAS301,18,33,6.71,51
1783930006,RVE301,17,38,6.71,55
1783930006,REE305,25,55,6.71,80
1783930006,REC301,23,30,6.71,53
1783930006,REC302,18,41,6.71,59
1783930006,REC303,22,23,6.71,45
1783930006,REC351,39,42,6.71,81
1783930006,REC352,40,39,6.71,79
1783930006,REC353,39,44,6.71,83
1783930006,REC354,37,45,6.71,82
1783930006,ROE047,25,42,7.83,67
1783930006,RAS402,24,43,7.83,67
1783930006,REC401,24,43,7.83,67
1783930006,REC402,17,60,7.83,77
1783930006,REC403,17,54,7.83,71
1783930006,RCS406,21,53,7.83,74
1783930006,REC451,44,42,7.83,86
1783930006,REC452,44,46,7.83,90
1783930006,REC453,40,42,7.83,82
1783930006,RCS456,47,44,7.83,91
1783930006,RAS501,26,48,7.29,74
1783930006,RAS502,24,45,7.29,69
1783930006,REC501A,22,40,7.29,62
1783930006,REC502,24,43,7.29,67
1783930006,REC503,16,32,7.29,48
1783930006,REC051,23,56,7.29,79
1783930006,REC551,44,45,7.29,89
1783930006,REC552,46,41,7.29,87
1783930006,REC553,37,40,7.29,77
1783930006,REC554,43,35,7.29,78
1783930006,RAS601,28,51,7.92,79
1783930006,RUC601,24,48,7.92,72
1783930006,RIC603,16,42,7.92,58
1783930006,REC601,29,51,7.92,80
1783930006,REC602,26,49,7.92,75
1783930006,REC064,18,44,7.92,62
1783930006,REC651,46,44,7.92,90
1783930006,REC652,44,43,7.92,87
1783930006,RIC653,34,40,7.92,74
1783930006,RIC651,45,44,7.92,89
1783930006,ROE072,25,43,8.29,68
1783930006,REC072,28,35,8.29,63
1783930006,REC075,28,44,8.29,72
1783930006,REC701,30,40,8.29,70
1783930006,REC702,28,50,8.29,78
1783930006,REC751,48,46,8.29,94
1783930006,REC752,40,46,8.29,86
1783930006,REC753,90,0,8.29,90
1783930006,REC754,180,0,8.29,180
1783930007,RAS101,17,28,6.5,45
1783930007,RAS102,19,41,6.5,60
1783930007,RAS103,22,37,6.5,59
1783930007,RME101,18,43,6.5,61
1783930007,RCS101,20,24,6.5,44
1783930007,RAS152,40,39,6.5,79
1783930007,RME151,40,43,6.5,83
1783930007,RCS151,40,41,6.5,81
1783930007,RCE151,44,39,6.5,83
1783930007,RAS203,15,49,6.67,64
1783930007,RAS201,15,44,6.67,59
1783930007,REE201,20,27,6.67,47
1783930007,RAS204,23,38,6.67,61
1783930007,REC201,15,43,6.67,58
1783930007,RAS251,42,44,6.67,86
1783930007,REE251,38,46,6.67,84
1783930007,RAS254,40,47,6.67,87
1783930007,RME252,31,43,6.67,74
1783930007,RAS301,16,41,7.0,57
1783930007,RVE301,22,35,7.0,57
1783930007,REE305,24,41,7.0,65
1783930007,REC301,22,45,7.0,67
1783930007,REC302,17,43,7.0,60
1783930007,REC303,17,53,7.0,70
1783930007,REC351,39,45,7.0,84
1783930007,REC352,34,38,7.0,72
1783930007,REC353,36,37,7.0,73
1783930007,REC354,28,37,7.0,65
1783930007,ROE047,20,49,7.08,69
1783930007,RAS402,22,50,7.08,72
1783930007,REC401,17,36,7.08,53
1783930007,REC402,16,55,7.08,71
1783930007,REC403,15,51,7.08,66
1783930007,RCS406,16,33,7.08,49
1783930007,REC451,38,39,7.08,77
1783930007,REC452,33,36,7.08,69
1783930007,REC453,37,40,7.08,77
1783930007,RCS456,41,41,7.08,82
1783930007,RAS501,25,47,7.54,72
1783930007,RAS502,25,39,7.54,64
1783930007,REC501A,20,32,7.54,52
1783930007,REC502,22,47,7.54,69
1783930007,REC503,21,55,7.54,76
1783930007,REC051,23,52,7.54,75
1783930007,REC551,37,47,7.54,84
1783930007,REC552,48,40,7.54,88
1783930007,REC553,38,40,7.54,78
1783930007,REC554,36,36,7.54,72
1783930007,RAS601,28,50,7.54,78
1783930007,RUC601,23,46,7.54,69
1783930007,RIC603,19,43,7.54,62
1783930007,REC601,19,43,7.54,62
1783930007,REC602,25,48,7.54,73
1783930007,REC064,22,45,7.54,67
1783930007,REC651,44,42,7.54,86
1783930007,REC652,41,41,7.54,82
1783930007,RIC653,40,41,7.54,81
1783930007,RIC651,33,39,7.54,72
1783930007,ROE072,24,32,7.5,56
1783930007,REC072,25,39,7.5,64
1783930007,REC075,25,37,7.5,62
1783930007,REC701,20,33,7.5,53
1783930007,REC702,25,49,7.5,74
1783930007,REC751,45,42,7.5,87
1783930007,REC752,36,42,7.5,78
1783930007,REC753,88,0,7.5,88
1783930007,REC754,180,0,7.5,180
1783930008,RAS101,16,56,7.33,72
1783930008,RAS102,22,33,7.33,55
1783930008,RAS103,25,51,7.33,76
1783930008,RME101,22,40,7.33,62
1783930008,RCS101,24,22,7.33,46
1783930008,RAS152,44,43,7.33,87
1783930008,RME151,42,46,7.33,88
1783930008,RCS151,44,40,7.33,84
1783930008,RCE151,43,42,7.33,85
1783930008,RAS203,19,42,7.13,61
1783930008,RAS201,15,41,7.13,56
1783930008,REE201,22,48,7.13,70
1783930008,RAS204,19,30,7.13,49
1783930008,REC201,16,50,7.13,66
1783930008,RAS251,38,44,7.13,82
1783930008,REE251,48,47,7.13,95
1783930008,RAS254,40,47,7.13,87
1783930008,RME252,33,45,7.13,78
1783930008,RAS301,18,38,6.88,56
1783930008,RVE301,20,32,6.88,52
1783930008,REE305,23,42,6.88,65
1783930008,REC301,24,36,6.88,60
1783930008,REC302,17,37,6.88,54
1783930008,REC303,22,54,6.88,76
1783930008,REC351,41,40,6.88,81
1783930008,REC352,36,34,6.88,70
1783930008,REC353,36,43,6.88,79
1783930008,REC354,37,35,6.88,72
1783930008,ROE047,21,44,6.71,65
1783930008,RAS402,22,30,6.71,52
1783930008,REC401,19,36,6.71,55
1783930008,REC402,17,47,6.71,64
1783930008,REC403,18,31,6.71,49
1783930008,RCS406,15,46,6.71,61
1783930008,REC451,37,35,6.71,72
1783930008,REC452,36,38,6.71,74
1783930008,REC453,37,39,6.71,76
1783930008,RCS456,41,42,6.71,83
1783930008,RAS501,26,42,6.63,68
1783930008,RAS502,23,33,6.63,56
1783930008,REC501A,22,42,6.63,64
1783930008,REC502,20,34,6.63,54
1783930008,REC503,16,49,6.63,65
1783930008,REC051,17,32,6.63,49
1783930008,REC551,42,47,6.63,89
1783930008,REC552,45,41,6.63,86
1783930008,REC553,37,40,6.63,77
1783930008,REC554,41,36,6.63,77
1783930008,RAS601,29,48,7.33,77
1783930008,RUC601,25,46,7.33,71
1783930008,RIC603,16,39,7.33,55
1783930008,REC601,19,41,7.33,60
1783930008,REC602,25,46,7.33,71
1783930008,REC064,16,39,7.33,55
1783930008,REC651,42,42,7.33,84
1783930008,REC652,42,42,7.33,84
1783930008,RIC653,37,40,7.33,77
1783930008,RIC651,35,40,7.33,75
1783930008,ROE072,23,33,6.79,56
1783930008,REC072,20,36,6.79,56
1783930008,REC075,21,41,6.79,62
1783930008,REC701,20,28,6.79,48
1783930008,REC702,21,35,6.79,56
1783930008,REC751,38,42,6.79,80
1783930008,REC752,47,42,6.79,89
1783930008,REC753,77,0,6.79,77
1783930008,REC754,160,0,6.79,160
1783930009,RAS101,22,27,7.79,49
1783930009,RAS102,28,50,7.79,78
1783930009,RAS103,24,49,7.79,73
1783930009,RME101,25,51,7.79,76
1783930009,RCS101,24,47,7.79,71
1783930009,RAS152,47,48,7.79,95
1783930009,RME151,42,45,7.79,87
1783930009,RCS151,44,48,7.79,92
1783930009,RCE151,42,39,7.79,81
1783930009,RAS203,19,49,8.0,68
1783930009,RAS201,18,53,8.0,71
1783930009,REE201,28,58,8.0,86
1783930009,RAS204,19,34,8.0,53
1783930009,REC201,25,51,8.0,76
1783930009,RAS251,44,45,8.0,89
1783930009,REE251,47,46,8.0,93
1783930009,RAS254,40,42,8.0,82
1783930009,RME252,43,40,8.0,83
1783930009,RAS301,26,30,7.29,56
1783930009,RVE301,19,47,7.29,66
1783930009,REE305,27,44,7.29,71
1783930009,REC301,23,41,7.29,64
1783930009,REC302,22,29,7.29,51
1783930009,REC303,28,49,7.29,77
1783930009,REC351,44,42,7.29,86
1783930009,REC352,40,42,7.29,82
1783930009,REC353,46,48,7.29,94
1783930009,REC354,41,40,7.29,81
1783930009,ROE047,21,43,5.58,64
1783930009,RAS402,17,23,5.58,40
1783930009,REC401,15,24,5.58,39
1783930009,REC402,16,49,5.58,65
1783930009,REC403,16,29,5.58,45
1783930009,RCS406,19,47,5.58,66
1783930009,REC451,35,37,5.58,72
1783930009,REC452,33,36,5.58,69
1783930009,REC453,36,39,5.58,75
1783930009,RCS456,30,38,5.58,68
1783930009,RAS501,22,44,5.92,66
1783930009,RAS502,21,24,5.92,45
1783930009,REC501A,19,38,5.92,57
1783930009,REC502,20,46,5.92,66
1783930009,REC503,19,56,5.92,75
1783930009,REC051,13,22,5.92,35
1783930009,REC551,44,47,5.92,91
1783930009,REC552,42,45,5.92,87
1783930009,REC553,38,44,5.92,82
1783930009,REC554,43,36,5.92,79
1783930009,RAS601,28,49,6.88,77
1783930009,RUC601,23,45,6.88,68
1783930009,RIC603,12,37,6.88,49
1783930009,REC601,23,45,6.88,68
1783930009,REC602,15,40,6.88,55
1783930009,REC064,21,44,6.88,65
1783930009,REC651,40,42,6.88,82
1783930009,REC652,35,41,6.88,76
1783930009,RIC653,30,39,6.88,69
1783930009,RIC651,30,39,6.88,69
1783930009,ROE072,25,29,6.83,54
1783930009,REC072,21,35,6.83,56
1783930009,REC075,22,38,6.83,60
1783930009,REC701,15,35,6.83,50
1783930009,REC702,22,33,6.83,55
1783930009,REC751,39,46,6.83,85
1783930009,REC752,41,46,6.83,87
1783930009,REC753,70,0,6.83,70
1783930009,REC754,140,0,6.83,140
1783930010,RAS101,15,47,7.42,62
1783930010,RAS102,20,45,7.42,65
1783930010,RAS103,22,51,7.42,73
1783930010,RME101,23,40,7.42,63
1783930010,RCS101,23,32,7.42,55
1783930010,RAS152,40,38,7.42,78
1783930010,RME151,45,41,7.42,86
1783930010,RCS151,43,40,7.42,83
1783930010,RCE151,44,39,7.42,83
1783930010,RAS203,15,32,7.13,47
1783930010,RAS201,20,45,7.13,65
1783930010,REE201,22,52,7.13,74
1783930010,RAS204,23,41,7.13,64
1783930010,REC201,16,42,7.13,58
1783930010,RAS251,44,43,7.13,87
1783930010,REE251,46,46,7.13,92
1783930010,RAS254,40,45,7.13,85
1783930010,RME252,36,44,7.13,80
1783930010,RAS301,18,31,6.67,49
1783930010,RVE301,22,44,6.67,66
1783930010,REE305,23,44,6.67,67
1783930010,REC301,25,27,6.67,52
1783930010,REC302,18,48,6.67,66
1783930010,REC303,19,48,6.67,67
1783930010,REC351,39,37,6.67,76
1783930010,REC352,36,33,6.67,69
1783930010,REC353,38,39,6.67,77
1783930010,REC354,36,35,6.67,71
1783930010,ROE047,24,50,6.88,74
1783930010,RAS402,21,27,6.88,48
1783930010,REC401,18,37,6.88,55
1783930010,REC402,18,42,6.88,60
1783930010,REC403,18,35,6.88,53
1783930010,RCS406,16,41,6.88,57
1783930010,REC451,41,38,6.88,79
1783930010,REC452,42,44,6.88,86
1783930010,REC453,44,48,6.88,92
1783930010,RCS456,41,42,6.88,83
1783930010,RAS501,23,37,6.71,60
1783930010,RAS502,23,51,6.71,74
1783930010,REC501A,17,38,6.71,55
1783930010,REC502,19,54,6.71,73
1783930010,REC503,10,49,6.71,59
1783930010,REC051,15,29,6.71,44
1783930010,REC551,39,38,6.71,77
1783930010,REC552,38,41,6.71,79
1783930010,REC553,35,40,6.71,75
1783930010,REC554,38,35,6.71,73
1783930010,RAS601,27,48,7.33,75
1783930010,RUC601,24,46,7.33,70
1783930010,RIC603,14,39,7.33,53
1783930010,REC601,19,42,7.33,61
1783930010,REC602,20,43,7.33,63
1783930010,REC064,19,42,7.33,61
1783930010,REC651,44,42,7.33,86
1783930010,REC652,38,40,7.33,78
1783930010,RIC653,37,40,7.33,77
1783930010,RIC651,33,39,7.33,72
1783930010,ROE072,25,43,7.33,68
1783930010,REC072,26,42,7.33,68
1783930010,REC075,26,39,7.33,65
1783930010,REC701,21,40,7.33,61
1783930010,REC702,26,28,7.33,54
1783930010,REC751,44,42,7.33,86
1783930010,REC752,36,42,7.33,78
1783930010,REC753,75,0,7.33,75
1783930010,REC754,160,0,7.33,160
1783930011,RAS101,24,51,8.46,75
1783930011,RAS102,25,53,8.46,78
1783930011,RAS103,27,53,8.46,80
1783930011,RME101,21,53,8.46,74
1783930011,RCS101,27,50,8.46,77
1783930011,RAS152,46,47,8.46,93
1783930011,RME151,41,46,8.46,87
1783930011,RCS151,47,48,8.46,95
1783930011,RCE151,43,40,8.46,83
1783930011,RAS203,25,63,8.33,88
1783930011,RAS201,20,61,8.33,81
1783930011,REE201,19,51,8.33,70
1783930011,RAS204,24,40,8.33,64
1783930011,REC201,24,50,8.33,74
1783930011,RAS251,44,44,8.33,88
1783930011,REE251,38,46,8.33,84
1783930011,RAS254,38,47,8.33,85
1783930011,RME252,30,42,8.33,72
1783930011,RAS301,23,50,8.25,73
1783930011,RVE301,18,33,8.25,51
1783930011,REE305,24,53,8.25,77
1783930011,REC301,19,44,8.25,63
1783930011,REC302,26,60,8.25,86
1783930011,REC303,29,63,8.25,92
1783930011,REC351,46,48,8.25,94
1783930011,REC352,38,38,8.25,76
1783930011,REC353,49,49,8.25,98
1783930011,REC354,42,47,8.25,89
1783930011,ROE047,19,47,7.63,66
1783930011,RAS402,21,44,7.63,65
1783930011,REC401,18,43,7.63,61
1783930011,REC402,28,65,7.63,93
1783930011,REC403,23,39,7.63,62
1783930011,RCS406,19,34,7.63,53
1783930011,REC451,38,40,7.63,78
1783930011,REC452,35,39,7.63,74
1783930011,REC453,39,42,7.63,81
1783930011,RCS456,44,39,7.63,83
1783930011,RAS501,22,36,7.92,58
1783930011,RAS502,23,50,7.92,73
1783930011,REC501A,21,36,7.92,57
1783930011,REC502,27,56,7.92,83
1783930011,REC503,23,53,7.92,76
1783930011,REC051,23,50,7.92,73
1783930011,REC551,38,45,7.92,83
1783930011,REC552,48,45,7.92,93
1783930011,REC553,46,44,7.92,90
1783930011,REC554,37,45,7.92,82
